idx,matchtype,partid,ppartid
0,0,n1,n0
1,0,n4,n1
2,1,n4voice_overlap,undefined
3,0,n3,n3
4,0,n2,n2
5,0,n6,n4
6,0,n5,n5
7,0,n8,n7
8,0,n7,n6
9,0,n11,n10
10,0,n10,n9
11,0,n9,n8
12,0,n15,n12
13,1,n15voice_overlap,undefined
14,0,n14,n14
15,0,n13,n13
16,0,n12,n11
17,0,n17,n15
18,0,n16,n16
19,0,n18,n17
20,0,n20,n18
21,0,n19,n19
22,0,n22voice_overlap,n21
23,1,n22,undefined
24,0,n21,n20
25,0,n25,n24
26,0,n24,n23
27,0,n23,n22
28,0,n28,n27
29,0,n27,n26
30,0,n26,n25
31,0,n31,n30
32,0,n30,n29
33,0,n29,n28
34,0,n35voice_overlap,n32
35,1,n35,undefined
36,0,n34,n34
37,0,n33,n33
38,0,n32,n31
39,0,n37,n35
40,0,n36,n36
41,0,n38,n37
42,0,n40,n38
43,0,n39,n39
44,0,n42voice_overlap,n40
45,1,n42,undefined
46,0,n41,n41
47,0,n45,n43
48,0,n44,n44
49,0,n43,n42
50,0,n47,n46
51,0,n46,n45
52,0,n50,n49
53,0,n49,n48
54,0,n48,n47
55,0,n53voice_overlap,n52
56,1,n53,undefined
57,0,n52,n51
58,0,n51,n50
59,0,n55,n53
60,0,n54,n54
61,0,n56,n55
62,0,n59,n58
63,0,n58,n57
64,0,n57,n56
65,0,n62,n60
66,1,n62voice_overlap,undefined
67,0,n61,n61
68,0,n60,n59
69,0,n65,n64
70,0,n64,n63
71,0,n63,n62
72,0,n67,n66
73,0,n66,n65
74,0,n70,n69
75,0,n69,n68
76,0,n68,n67
77,0,n74,n71
78,1,n74voice_overlap,undefined
79,0,n73,n73
80,0,n72,n72
81,0,n71,n70
82,0,n77,n75
83,0,n76,n76
84,0,n75,n74
85,0,n79,n78
86,0,n78,n77
87,0,n82,n79
88,0,n81,n81
89,0,n80,n80
90,0,n85voice_overlap,n82
91,1,n85,undefined
92,0,n84,n84
93,0,n83,n83
94,0,n89,n87
95,0,n88,n88
96,0,n87,n86
97,0,n86,n85
98,0,n92,n91
99,0,n91,n90
100,0,n90,n89
101,0,n96,n95
102,0,n95,n93
103,0,n94,n94
104,0,n93,n92
105,0,n99voice_overlap,n97
106,1,n99,undefined
107,0,n98,n98
108,0,n97,n96
109,0,n101,n99
110,0,n100,n100
111,0,n102,n101
112,0,n104,n103
113,0,n103,n102
114,0,n107,n105
115,1,n107voice_overlap,undefined
116,0,n106,n106
117,0,n105,n104
118,0,n110,n108
119,0,n109,n109
120,0,n108,n107
121,0,n112,n111
122,0,n111,n110
123,0,n115,n113
124,0,n114,n114
125,0,n113,n112
126,0,n118,n117
127,1,n118voice_overlap,undefined
128,0,n117,n116
129,0,n116,n115
130,0,n121,n119
131,0,n120,n120
132,0,n119,n118
133,0,n123,n122
134,0,n122,n121
135,0,n126,n124
136,0,n125,n125
137,0,n124,n123
138,0,n129,n126
139,1,n129voice_overlap,undefined
140,0,n128,n128
141,0,n127,n127
142,0,n131,n129
143,0,n130,n130
144,0,n133,n132
145,0,n132,n131
146,0,n135,n134
147,0,n134,n133
148,0,n137,n136
149,1,n137voice_overlap,undefined
150,0,n136,n135
151,0,n139,n137
152,0,n138,n138
153,0,n142,n139
154,0,n141,n141
155,0,n140,n140
156,0,n145,n143
157,0,n144,n144
158,0,n143,n142
159,0,n147,n145
160,1,n147voice_overlap,undefined
161,0,n146,n146
162,0,n149,n148
163,0,n148,n147
164,0,n152,n149
165,0,n151,n151
166,0,n150,n150
167,0,n155,n154
168,0,n154,n153
169,0,n153,n152
170,0,n159,n157
171,1,n159voice_overlap,undefined
172,0,n158,n158
173,0,n157,n156
174,0,n156,n155
175,1,n161,undefined
176,1,n160,undefined
177,1,n162,undefined
178,0,n164,n160
179,0,n164,n163
180,0,n163,n159
181,0,n163,n162
182,0,n168voice_overlap,n164
183,1,n168,undefined
184,0,n167,n166
185,0,n166,n167
186,0,n165,n165
187,0,n170,n168
188,0,n169,n169
189,0,n172,n171
190,0,n171,n170
191,0,n175,n173
192,0,n174,n174
193,0,n173,n172
194,0,n179voice_overlap,n176
195,1,n179,undefined
196,0,n178,n178
197,0,n177,n177
198,0,n176,n175
199,0,n181,n179
