idx,matchtype,partid,ppartid
0,0,n1,n0
1,0,n4,n1
2,1,n4voice_overlap,undefined
3,0,n3,n3
4,0,n2,n2
5,0,n6,n4
6,0,n5,n5
7,0,n8,n7
8,0,n7,n6
9,0,n11,n10
10,0,n10,n9
11,0,n9,n8
12,0,n15,n12
13,1,n15voice_overlap,undefined
14,0,n14,n14
15,0,n13,n13
16,0,n12,n11
17,0,n17,n15
18,0,n16,n16
19,0,n18,n17
20,0,n20,n18
21,0,n19,n19
22,0,n22voice_overlap,n21
23,1,n22,undefined
24,0,n21,n20
25,0,n25,n24
26,0,n24,n23
27,0,n23,n22
28,0,n28,n27
29,0,n27,n26
30,0,n26,n25
31,0,n31,n30
32,0,n30,n29
33,0,n29,n28
34,0,n35voice_overlap,n32
35,1,n35,undefined
36,0,n34,n34
37,0,n33,n33
38,0,n32,n31
39,0,n37,n35
40,1,n36,undefined
41,0,n38,n37
42,0,n40,n38
43,0,n39,n39
44,0,n42voice_overlap,n40
45,1,n42,undefined
46,0,n41,n41
47,0,n45,n43
48,0,n44,n44
49,0,n43,n42
50,0,n47,n46
51,0,n46,n45
52,0,n50,n49
53,0,n49,n48
54,0,n48,n47
55,0,n53voice_overlap,n52
56,1,n53,undefined
57,0,n52,n51
58,0,n51,n50
59,0,n55,n53
60,0,n54,n54
61,0,n56,n55
62,0,n59,n58
63,0,n58,n57
64,0,n57,n56
65,0,n62,n60
66,1,n62voice_overlap,undefined
67,0,n61,n61
68,0,n60,n59
69,0,n65,n64
70,0,n64,n63
71,0,n63,n62
72,0,n67,n66
73,0,n66,n65
74,0,n70,n69
75,0,n69,n68
76,0,n68,n67
77,0,n74,n71
78,1,n74voice_overlap,undefined
79,0,n73,n73
80,0,n72,n72
81,0,n71,n70
82,0,n77,n75
83,1,n76,undefined
84,1,n75,undefined
85,1,n79,undefined
86,1,n78,undefined
87,1,n82,undefined
88,1,n81,undefined
89,1,n80,undefined
90,0,n85voice_overlap,n82
91,1,n85,undefined
92,1,n84,undefined
93,0,n83,n83
94,0,n89,n87
95,1,n88,undefined
96,1,n87,undefined
97,1,n86,undefined
98,1,n92,undefined
99,0,n91,n90
100,0,n90,n85
101,0,n90,n89
102,0,n96,n95
103,0,n95,n93
104,0,n94,n94
105,0,n93,n92
106,1,n99voice_overlap,undefined
107,0,n99,n97
108,1,n98,undefined
109,0,n97,n96
110,0,n101,n99
111,1,n100,undefined
112,0,n102,n101
113,1,n104,undefined
114,1,n103,undefined
115,0,n107,n105
116,1,n107voice_overlap,undefined
117,1,n106,undefined
118,1,n105,undefined
119,0,n110,n108
120,1,n109,undefined
121,1,n108,undefined
122,1,n112,undefined
123,1,n111,undefined
124,0,n115,n113
125,0,n114,n114
126,0,n113,n112
127,0,n118,n117
128,1,n118voice_overlap,undefined
129,0,n117,n116
130,0,n116,n115
131,0,n121,n119
132,0,n120,n120
133,0,n119,n118
134,0,n123,n122
135,0,n122,n121
136,0,n126,n124
137,0,n125,n125
138,0,n124,n123
139,0,n129,n126
140,1,n129voice_overlap,undefined
141,0,n128,n128
142,0,n127,n127
143,0,n131,n129
144,0,n130,n130
145,0,n133,n132
146,0,n132,n131
147,0,n135,n134
148,0,n134,n133
149,0,n137,n136
150,1,n137voice_overlap,undefined
151,0,n136,n135
152,0,n139,n143
153,1,n138,undefined
154,1,n142,undefined
155,1,n141,undefined
156,1,n140,undefined
157,1,n145,undefined
158,1,n144,undefined
159,0,n143,n142
160,0,n143,n152
161,0,n147,n145
162,1,n147voice_overlap,undefined
163,0,n146,n149
164,0,n149,n154
165,0,n148,n153
166,1,n152,undefined
167,1,n151,undefined
168,1,n150,undefined
169,1,n155,undefined
170,1,n154,undefined
171,1,n153,undefined
172,0,n159,n157
173,1,n159voice_overlap,undefined
174,1,n158,undefined
175,1,n157,undefined
176,0,n156,n155
177,0,n161,n160
178,0,n161,n163
179,1,n160,undefined
180,1,n162,undefined
181,1,n164,undefined
182,1,n163,undefined
183,0,n168voice_overlap,n164
184,1,n168,undefined
185,0,n167,n166
186,0,n166,n167
187,0,n165,n165
188,0,n170,n168
189,0,n169,n169
190,0,n172,n171
191,0,n171,n170
192,0,n175,n173
193,0,n174,n174
194,0,n173,n172
195,0,n179voice_overlap,n176
